"Story","Title","Result","Date","Stability","Duration (s)"
"Verify User Car Details","Verify Used Car Details","SUCCESS","2020-11-11T04:45:59.7872487+13:00[Pacific/Auckland]","0.0","16.66"
"Verify User Car Details","Verify St Johns is included in the list of charities","SUCCESS","2020-11-11T04:46:16.4497377+13:00[Pacific/Auckland]","0.0","0.18"
